pl_hostname,ra,dec,Planet Name,st_dist,pl_orbper,pl_bmassj,st_teff,pl_discmethod,st_optmag,tr_midp_jd,pl_trandur
Kepler-511,282.945693,47.574875,kepler511b,448.0,296.637865,,5770.0,Transit,12.747,2458203.051,0.675962
Kepler-1371,288.831383,47.551994,kepler1371b,450.0,3.4462039,,5361.0,Transit,13.851,2458201.216,0.08337
Kepler-1371,288.831383,47.551994,kepler1371c,450.0,2.00541269,,5361.0,Transit,13.851,2458202.982,0.07492
HATS-3,312.45744,-24.428793,hats3b,453.0,3.547851,1.071,6351.0,Transit,12.44,2458203.077,0.1494
Kepler-1222,294.889655,49.379768,kepler1222b,455.0,1.91694425,,5239.0,Transit,14.1,2458201.269,0.060954
WASP-57,223.820104,-2.057665,wasp57b,455.0,2.83891856,0.644,5600.0,Transit,13.04,2458201.933,
Kepler-1222,294.889655,49.379768,kepler1222b,455.0,1.91694425,,5239.0,Transit,14.1,2458203.186,0.060954
Kepler-1222,294.889655,49.379768,kepler1222b,455.0,1.91694425,,5239.0,Transit,14.1,2458203.186,0.060954
Kepler-1022,289.352005,46.973728,kepler1022b,455.0,10.99469878,,4445.0,Transit,15.389,2458202.799,0.068475
Kepler-1222,294.889655,49.379768,kepler1222b,455.0,1.91694425,,5239.0,Transit,14.1,2458201.269,0.060954
Kepler-1107,291.049927,39.141674,kepler1107b,457.0,0.57103852,,5268.0,Transit,14.098,2458203.013,0.04342
Kepler-1107,291.049927,39.141674,kepler1107b,457.0,0.57103852,,5268.0,Transit,14.098,2458203.013,0.04342
Kepler-1107,291.049927,39.141674,kepler1107b,457.0,0.57103852,,5268.0,Transit,14.098,2458201.871,0.04342
Kepler-1107,291.049927,39.141674,kepler1107b,457.0,0.57103852,,5268.0,Transit,14.098,2458201.871,0.04342
Kepler-1086,295.251155,45.842972,kepler1086b,464.0,18.78425728,,4350.0,Transit,15.561,2458201.775,0.134746
Kepler-537,289.880634,51.277081,kepler537b,465.0,3.24755522,,5763.0,Transit,13.1,2458203.119,0.103483
Kepler-1579,293.288009,43.514988,kepler1579b,466.0,0.84990789,,4584.0,Transit,15.22,2458202.821,0.045521
Kepler-1579,293.288009,43.514988,kepler1579b,466.0,0.84990789,,4584.0,Transit,15.22,2458201.971,0.045521
Kepler-1579,293.288009,43.514988,kepler1579b,466.0,0.84990789,,4584.0,Transit,15.22,2458202.821,0.045521
Kepler-1579,293.288009,43.514988,kepler1579b,466.0,0.84990789,,4584.0,Transit,15.22,2458201.971,0.045521
Kepler-787,291.692465,38.572907,kepler787b,468.0,0.9283105,,4248.0,Transit,15.854,2458201.966,0.054
Kepler-787,291.692465,38.572907,kepler787b,468.0,0.9283105,,4248.0,Transit,15.854,2458202.894,0.054
Kepler-787,291.692465,38.572907,kepler787b,468.0,0.9283105,,4248.0,Transit,15.854,2458201.966,0.054
