Tr_midp_date,Egress,Ingress,pl_hostname,ra,dec,Planet Name,st_dist,pl_orbper,pl_bmassj,st_teff,pl_discmethod,st_optmag,tr_midp_jd,pl_trandur
2018-03-25 07:31:11.999998,2018-03-25 08:55:44.924162,2018-03-25 06:06:39.075834,Kepler-491,19.142038333333335,42.350155,kepler491b,657.0,4.22538451,1e+20,5582.0,Transit,14.014,2458202.98,0.1174288
2018-03-25 07:31:11.999998,2018-03-25 09:40:55.387191,2018-03-25 05:21:28.612805,Kepler-865,19.848285533333335,43.527435,kepler865b,664.0,14.16399294,1e+20,5570.0,Transit,14.48,2458202.98,0.180171
2018-03-25 10:15:21.600004,2018-03-25 10:47:49.055986,2018-03-25 09:42:54.144021,Kepler-1547,18.917604933333333,42.222172,kepler1547b,665.0,0.69297968,1e+20,6078.0,Transit,13.447,2458203.094,0.04508
2018-03-25 14:15:50.399995,2018-03-25 15:10:42.887990,2018-03-25 13:20:57.912000,Kepler-785,19.471220266666666,38.842261,kepler785b,666.0,1.97376093,1e+20,4739.0,Transit,15.715,2458203.261,0.076215
2018-03-25 14:15:50.399995,2018-03-25 15:10:42.887990,2018-03-25 13:20:57.912000,Kepler-785,19.471220266666666,38.842261,kepler785b,666.0,1.97376093,1e+20,4739.0,Transit,15.715,2458203.261,0.076215
2018-03-25 11:00:00,2018-03-25 12:59:02.256010,2018-03-25 09:00:57.743990,Kepler-1466,19.322081466666667,44.609863,kepler1466b,686.0,31.1750448,1e+20,5884.0,Transit,13.926,2458203.125,0.16533
2018-03-25 05:46:04.800011,2018-03-25 06:18:21.456012,2018-03-25 05:13:48.144009,Kepler-1067,19.025827266666667,45.049053,kepler1067b,689.0,0.76212926,1e+20,5592.0,Transit,14.305,2458202.907,0.04483
2018-03-25 05:46:04.800011,2018-03-25 06:18:21.456012,2018-03-25 05:13:48.144009,Kepler-1067,19.025827266666667,45.049053,kepler1067b,689.0,0.76212926,1e+20,5592.0,Transit,14.305,2458202.907,0.04483
2018-03-25 13:19:40.800006,2018-03-25 14:12:24.292805,2018-03-25 12:26:57.307207,Kepler-586,19.537148,45.551193,kepler586b,707.0,2.10472218,1e+20,5575.0,Transit,14.427,2458203.222,0.073229
2018-03-25 08:18:43.199983,2018-03-25 09:42:31.679970,2018-03-25 06:54:54.719996,HAT-P-53,1.4580736666666667,38.968147,hatp53b,719.0,1.9616241,1.484,5956.0,Transit,13.73,2458203.013,0.1164
